_id,OBJECTID,YOL_ID,SHAPE_Length,YOL_ISMI,YOL_TURU,YOL_TIPI,SERIT_SAYISI,KULLANILAN_SERIT,KAPLAMA_CINSI,YOLKN,IBB_KIMLIKNO,ACIKLAMA,UKOME_OZET,UKOME_GIRIS,UKOME_CIKIS,ANAARTER_TIP,SHAPE_Length_1
942,942,1025352,1902.430646,Mithatpaşa Cad.,2,1,2t,2,Asfalt,1025352,239387,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),53.97452034
943,943,1025365,1358.895205,Sütçü İmam Cad.,2,1,3t,2,Asfalt,1025365,250218,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),15.37682102
944,944,1025374,17418.64128,Alemdağ Cad.,2,1,,,Asfalt,1025374,123020,UKOME2001/7-2 (27.07.2001) Kararıyla ANAARTER oldu,Anaarter (Mevcut) (1),UKOME2001/7-2 (27.07.2001),Hala Anaarter,Anaarter (Mevcut)(11),12.66983914
945,945,1025395,2033.347728,Kavaklıdere Cad.,2,1,2t,1,Asfalt,1025395,275372,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),168.6494728
946,946,1025405,98.42746851,Reşitpaşa Cad.,2,1,2t,2,Asfalt,1025405,282268,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),62.92586761
947,947,1025561,4599.750197,Akdeniz Cad.,2,1,2t,2,Asfalt,1025561,279347,UKOME1997/8-13 (07.07.1997) Kararıyla ANAARTER oldu,Anaarter (Mevcut) (1),UKOME1997/8-13 (07.07.1997),Hala Anaarter,Anaarter (Mevcut)(11),303.3652093
948,948,1025731,14.77659361,23 Nisan Cad.,2,1,2t,2,Asfalt,1025731,352665,UKOME1997/8-13 (07.07.1997) Kararıyla ANAARTER oldu,Anaarter (Mevcut) (1),UKOME1997/8-13 (07.07.1997),Hala Anaarter,Anaarter (Mevcut)(11),14.77659361
949,949,1025840,1440.355505,Talatpaşa Cad.,2,1,2ç,1,Asfalt,1025840,352988,UKOME2001/7-2 (27.07.2001) Kararıyla ANAARTER oldu,Anaarter (Mevcut) (1),UKOME2001/7-2 (27.07.2001),Hala Anaarter,Anaarter (Mevcut)(11),21.98654107
950,950,1025981,284.7797344,Kemerdere Köprülü Kavşağı,11,3,2t,2,Asfalt,1025981,319244,Bu YOLLAR  (21.02.2005) Tarihli Protokol ile Karayollarından  İBB?nin sorumluluğuna girmiş olup (11.07.2010) Tarihli Protokol ve FEN KURULU kararıyla İBB?nin sorumluluğundan çıkıp tekrar KARAYOLLARI?nın sorumluluğuna girmiştir.,Karayollari (2010 DEVİR PROTOKOLÜ) (99),(08.11.2004) Tarihli Karayolları 2004 Protokolü ve (21.02.2005) Tarihiyle yürürlüğe girmiştir,(01.06.2010) Tarihli Karayolları 2010 Protokolü ve (11.07.2010) Tarihiyle  yürürlüğe girmiştir,KARAYOLLARI(2010 Protokolu)(99),284.7797344
951,951,1026009,3198.025375,Natoyolu Cad.,2,1,4ç,2,Asfalt,1026009,240861,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),12.84676084
952,952,1026161,5192.64671,Tavukçuyolu Cad.,2,1,2t,2,Asfalt,1026161,274833,UKOME1997/8-13 (07.07.1997) Kararıyla ANAARTER oldu,Anaarter (Mevcut) (1),UKOME1997/8-13 (07.07.1997),Hala Anaarter,Anaarter (Mevcut)(11),98.40243646
953,953,1026303,65.92996171,Elalmış Cad.,2,1,2t,2,Asfalt,1026303,448728,UKOME2001/7-2 (27.07.2001) Kararıyla ANAARTER oldu,Anaarter (Mevcut) (1),UKOME2001/7-2 (27.07.2001),Hala Anaarter,Anaarter (Mevcut)(11),17.38301384
954,954,1026464,42.06409344,Aziz Bulvarı,1,1,2t,2,Asfalt,1026464,447976,UKOME1997/8-13 (07.07.1997) Kararıyla ANAARTER oldu,Anaarter (Mevcut) (1),UKOME1997/8-13 (07.07.1997),Hala Anaarter,Anaarter (Mevcut)(11),12.30778881
955,955,1026602,5617.702655,Barajyolu Cad.,2,1,3t,3,Asfalt,1026602,219640,UKOME2000/6-7 (30.06.2000) Kararıyla ANAARTER oldu,Anaarter (Mevcut) (1),UKOME2000/6-7 (30.06.2000),Hala Anaarter,Anaarter (Mevcut)(11),44.43789555
956,956,1026644,6532.387124,Acıbadem Cad.,2,1,2t,1,Asfalt,1026644,124850,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),168.9414729
957,957,1026646,362.6696989,Lambacı Sk.,3,1,1t,1,Asfalt,1026646,286849,UKOME2001/7-2 (27.07.2001) Kararıyla ANAARTER oldu,Anaarter (Mevcut) (1),UKOME2001/7-2 (27.07.2001),Hala Anaarter,Anaarter (Mevcut)(11),37.32475789
958,958,1026651,3428.785161,3004. Cad.,2,1,4ç,2,Asfalt,1026651,173760,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),36.88128196
